Species,Source,Date,Location,sample,BioSample,Estado,Região,source_type,WHO_Priority
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216055.2,SAMN00254327,BA,Nordeste,Other,Other
Escherichia coli,,1990.0,Brazil,GCA_000316425.1,SAMN01041333,,,Unknown,Critical
Vibrio cholerae,patient with cholera-like diarrhea,1991.0,,GCA_000223095.2,SAMN02470783,,,Gastrointestinal,Other
Acinetobacter bereziniae,Rectal Swab,2019.0,Brazil,GCA_036761135.1,SAMN39408214,,,Gastrointestinal,Other
Acinetobacter bereziniae,Endotracheal aspirate,2014.0,"Londrina, PR",GCA_003670255.1,SAMN09907131,PR,Sul,Respiratory,Other
Acinetobacter bereziniae,blood,2013.0,"Sao Paulo, Botucatu",GCA_006334885.1,SAMN10963611,SP,Sul,Blood,Other
Acinetobacter bereziniae,blood,2014.0,"Sao Paulo, Botucatu",GCA_006334895.1,SAMN10963612,SP,Sul,Blood,Other
Salmonella enterica,feces,2018.0,Brazil,GCA_024700995.1,SAMN14642250,,,Gastrointestinal,High
Salmonella enterica,Biological material,1995.0,Brazil,GCA_024701035.1,SAMN14642248,,,Other,High
Mycobacteroides abscessus,patient subjected to laparoscopic cholecystectomy,2005.0,Instituto Evandro Chagas Bel�m PA Brazil,GCF_000363915.2,SAMN02471375,PA,Norte,Other,Other
Vibrio cholerae,stool,1992.0,Brazil,GCA_000348045.1,SAMN00989305,,,Gastrointestinal,Other
Vibrio cholerae,stool,1978.0,Brazil,GCA_000348065.1,SAMN00989311,,,Gastrointestinal,Other
Neisseria meningitidis,disease case,1989.0,Brazil,GCA_000327825.2,SAMN01055159,,,Other,Other
Neisseria meningitidis,disease case,2004.0,Brazil,GCA_000328125.2,SAMN01055161,,,Other,Other
Neisseria meningitidis,disease case,1988.0,Brazil,GCA_000327845.2,SAMN01055162,,,Other,Other
Neisseria meningitidis,disease case,2004.0,Brazil,GCA_000327865.2,SAMN01055163,,,Other,Other
Aeromonas australiensis,fecal sample,2004.0,Brazil,GCA_021538905.1,SAMN10473215,,,Gastrointestinal,Other
Escherichia coli,stool,1998.0,Envira,GCA_000355215.1,SAMN00829025,AM,Norte,Gastrointestinal,Critical
Escherichia coli,stool,1998.0,Envira,GCA_000355195.1,SAMN00829717,AM,Norte,Gastrointestinal,Critical
Escherichia coli,stool,1998.0,Brazil,GCA_000355235.1,SAMN00829297,,,Gastrointestinal,Critical
Escherichia coli,stool,1998.0,Brazil,GCA_000355255.1,SAMN00829299,,,Gastrointestinal,Critical
Klebsiella pneumoniae,blood,2009.0,Brazil,GCA_000512165.1,SAMN02641520,,,Blood,Critical
Klebsiella michiganensis,blood,2024.0,Sao Paulo,GCA_041901425.1,SAMN43428189,SP,Sul,Blood,Critical
Klebsiella michiganensis,blood,2019.0,Brazil,GCA_023093655.1,SAMN27549421,,,Blood,Critical
Klebsiella michiganensis,Tracheal secretion,2021.0,Campinas,GCA_026223635.2,SAMN30807003,SP,Sul,Respiratory,Critical
Neisseria meningitidis,disease case,1975.0,Brazil,GCA_000386205.2,SAMN01780075,,,Other,Other
Neisseria meningitidis,disease case,1975.0,Brazil,GCA_000386225.2,SAMN01780076,,,Other,Other
Neisseria meningitidis,disease case,1973.0,Brazil,GCA_000386745.2,SAMN01780107,,,Other,Other
Neisseria meningitidis,disease case,1973.0,Brazil,GCA_000386765.2,SAMN01780108,,,Other,Other
Aeromonas veronii,feces,2007.0,Brazil,GCA_003859745.1,SAMN10289379,,,Gastrointestinal,Other
Klebsiella sp.,blood,2016.0,Rio de Janeiro,GCA_018224045.1,SAMN18524141,RJ,Sudeste,Blood,Critical
Leptospira sp.,Homo sapiens,,Salvador,GCA_000306435.2,SAMN02436391,BA,Nordeste,Other,Other
Leptospira sp.,Homo sapiens,,Camacari,GCA_000346675.1,SAMN01886732,BA,Nordeste,Other,Other
Leptospira interrogans,Homo sapiens,,Mata de Sao Joao,GCA_000306135.2,SAMN02436487,BA,Nordeste,Other,Other
Leptospira noguchii,Homo sapiens,,Pelotas,GCA_000350585.1,SAMN01162017,RS,Sul,Other,Other
Acinetobacter courvalinii,Conjunctiva,1990.0,Brazil,GCA_000369605.1,SAMN01087861,,,Body Fluid,Other
Leptospira noguchii,Homo sapiens,,Pelotas,GCA_000346655.1,SAMN01801600,RS,Sul,Other,Other
Bordetella trematum,ulcer tissue,2016.0,Brazil,GCA_011463375.1,SAMN10962613,,,Skin & Soft Tissue,Other
Leuconostoc mesenteroides,,2016.0,Belo Horizonte,GCA_030668605.1,SAMN36793374,MG,Sudeste,Unknown,Other
Leuconostoc mesenteroides,,2016.0,Belo Horizonte,GCA_031192385.1,SAMN36793375,MG,Sudeste,Unknown,Other
Pediococcus pentosaceus,,2019.0,Sao Paulo,GCA_028067445.1,SAMN27515023,SP,Sul,Unknown,Other
Mycobacterium fragae,sputum,2010.0,Brazil,GCA_020622285.1,SAMN04101982,,,Respiratory,Other
Mycobacterium fragae,sputum of a Brazilian patient with a lung infection,2010.0,"northeastern Brazil, Cear State",GCA_025823245.1,SAMN15568920,CE,Nordeste,Respiratory,Other
Mycobacterium fragae,sputum,,Ceara State,GCA_002102185.1,SAMN04216927,CE,Nordeste,Respiratory,Other
Staphylococcus aureus,blood of a 35 year-old male,,Sao Paulo,GCF_000647855.2,SAMN02732485,SP,Sul,Blood,High
Staphylococcus aureus,Nasal sample,2012.0,Vitoria da Conquista,GCF_001921685.1,SAMN06077116,,,Respiratory,High
Staphylococcus aureus,Nasal sample,2012.0,Vitoria da Conquista,GCF_001921695.1,SAMN06077115,,,Respiratory,High
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260005.1,SAMN05721738,,,Blood,High
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260015.1,SAMN05721737,,,Blood,High
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260065.1,SAMN05721739,,,Blood,High
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260085.1,SAMN05721740,,,Blood,High
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267625.1,SAMN03940750,SP,Sul,Blood,High
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267645.1,SAMN03940752,SP,Sul,Blood,High
Staphylococcus aureus,Blood,2012.0,Porto Alegre,GCA_002267665.1,SAMN03940754,RS,Sul,Blood,High
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002267685.1,SAMN03940749,SP,Sul,Blood,High
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267695.1,SAMN03940751,SP,Sul,Blood,High
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267705.1,SAMN03940753,SP,Sul,Blood,High
Staphylococcus aureus,Blood,2012.0,Porto Alegre,GCA_002267965.1,SAMN03944932,RS,Sul,Blood,High
Staphylococcus aureus,Blood,2012.0,Porto Alegre,GCA_002267995.1,SAMN03944931,RS,Sul,Blood,High
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002268195.1,SAMN03944930,SP,Sul,Blood,High
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734305.1,SAMN03766003,SP,Sul,Blood,High
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734325.1,SAMN03766017,SP,Sul,Blood,High
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734345.1,SAMN03766018,SP,Sul,Blood,High
