Species,Source,Date,Location,sample_x,BioSample,Estado,Região,sample_y,vfdb_adherence,vfdb_antimicrobial_activity_competitive_advantage,vfdb_biofilm,vfdb_effector_delivery_system,vfdb_exoenzyme,vfdb_exotoxin,vfdb_immune_modulation,vfdb_invasion,vfdb_motility,vfdb_nutritional_metabolic_factor,vfdb_others,vfdb_post-translational_modification,vfdb_regulation,vfdb_stress_survival,sample_id
Escherichia coli,,1990.0,Brazil,GCA_000316425.1,SAMN01041333,,,GCA_000316425.1_ASM31642v1_genomic,24.0,1.0,0.0,93.0,1.0,8.0,1.0,4.0,17.0,23.0,0.0,0.0,6.0,0.0,GCA_000316425.1
Vibrio cholerae,patient with cholera-like diarrhea,1991.0,,GCA_000223095.2,SAMN02470783,,,GCA_000223095.2_ASM22309v2_genomic,17.0,0.0,16.0,32.0,2.0,5.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,GCA_000223095.2
Acinetobacter bereziniae,Rectal Swab,2019.0,Brazil,GCA_036761135.1,SAMN39408214,,,GCA_036761135.1_ASM3676113v1_genomic,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GCA_036761135.1
Acinetobacter bereziniae,Endotracheal aspirate,2014.0,"Londrina, PR",GCA_003670255.1,SAMN09907131,PR,Sul,GCA_003670255.1_ASM367025v1_genomic,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GCA_003670255.1
Acinetobacter bereziniae,blood,2013.0,"Sao Paulo, Botucatu",GCA_006334885.1,SAMN10963611,SP,Sul,GCA_006334885.1_ASM633488v1_genomic,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GCA_006334885.1
Acinetobacter bereziniae,blood,2014.0,"Sao Paulo, Botucatu",GCA_006334895.1,SAMN10963612,SP,Sul,GCA_006334895.1_ASM633489v1_genomic,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GCA_006334895.1
Salmonella enterica,feces,2018.0,Brazil,GCA_024700995.1,SAMN14642250,,,GCA_024700995.1_ASM2470099v1_genomic,24.0,2.0,0.0,99.0,0.0,0.0,2.0,3.0,15.0,6.0,0.0,0.0,7.0,0.0,GCA_024700995.1
Salmonella enterica,Biological material,1995.0,Brazil,GCA_024701035.1,SAMN14642248,,,GCA_024701035.1_ASM2470103v1_genomic,24.0,2.0,0.0,98.0,0.0,0.0,2.0,3.0,15.0,6.0,0.0,0.0,7.0,0.0,GCA_024701035.1
Mycobacteroides abscessus,patient subjected to laparoscopic cholecystectomy,2005.0,Instituto Evandro Chagas Bel�m PA Brazil,GCF_000363915.2,SAMN02471375,PA,Norte,GCF_000363915.2_MaINCQS00594_1.0_genomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,GCF_000363915.2
Vibrio cholerae,stool,1992.0,Brazil,GCA_000348045.1,SAMN00989305,,,GCA_000348045.1_ASM34804v1_genomic,34.0,0.0,16.0,35.0,2.0,9.0,0.0,0.0,59.0,0.0,4.0,0.0,0.0,0.0,GCA_000348045.1
Vibrio cholerae,stool,1978.0,Brazil,GCA_000348065.1,SAMN00989311,,,GCA_000348065.1_ASM34806v1_genomic,17.0,0.0,16.0,31.0,2.0,5.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,GCA_000348065.1
Neisseria meningitidis,disease case,1989.0,Brazil,GCA_000327825.2,SAMN01055159,,,GCA_000327825.2_ASM32782v2_genomic,24.0,5.0,0.0,1.0,0.0,0.0,19.0,7.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_000327825.2
Neisseria meningitidis,disease case,2004.0,Brazil,GCA_000328125.2,SAMN01055161,,,GCA_000328125.2_ASM32812v2_genomic,21.0,5.0,0.0,1.0,0.0,0.0,20.0,7.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_000328125.2
Neisseria meningitidis,disease case,1988.0,Brazil,GCA_000327845.2,SAMN01055162,,,GCA_000327845.2_ASM32784v2_genomic,27.0,5.0,0.0,1.0,0.0,0.0,21.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,GCA_000327845.2
Neisseria meningitidis,disease case,2004.0,Brazil,GCA_000327865.2,SAMN01055163,,,GCA_000327865.2_ASM32786v2_genomic,26.0,5.0,0.0,1.0,0.0,0.0,20.0,7.0,0.0,7.0,0.0,0.0,0.0,6.0,GCA_000327865.2
Aeromonas australiensis,fecal sample,2004.0,Brazil,GCA_021538905.1,SAMN10473215,,,GCA_021538905.1_ASM2153890v1_genomic,24.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,GCA_021538905.1
Escherichia coli,stool,1998.0,Envira,GCA_000355215.1,SAMN00829025,AM,Norte,GCA_000355215.1_ASM35521v1_genomic,27.0,1.0,0.0,34.0,0.0,3.0,2.0,3.0,19.0,15.0,0.0,0.0,5.0,0.0,GCA_000355215.1
Escherichia coli,stool,1998.0,Envira,GCA_000355195.1,SAMN00829717,AM,Norte,GCA_000355195.1_ASM35519v1_genomic,27.0,1.0,0.0,35.0,0.0,3.0,2.0,3.0,19.0,15.0,0.0,0.0,5.0,0.0,GCA_000355195.1
Escherichia coli,stool,1998.0,Brazil,GCA_000355235.1,SAMN00829297,,,GCA_000355235.1_ASM35523v1_genomic,28.0,1.0,0.0,19.0,0.0,2.0,3.0,3.0,19.0,15.0,0.0,0.0,5.0,0.0,GCA_000355235.1
Escherichia coli,stool,1998.0,Brazil,GCA_000355255.1,SAMN00829299,,,GCA_000355255.1_ASM35525v1_genomic,28.0,1.0,0.0,34.0,0.0,2.0,1.0,3.0,19.0,15.0,0.0,0.0,5.0,0.0,GCA_000355255.1
Klebsiella pneumoniae,blood,2009.0,Brazil,GCA_000512165.1,SAMN02641520,,,GCA_000512165.1_ASM51216v1_genomic,16.0,2.0,8.0,14.0,0.0,0.0,12.0,1.0,0.0,25.0,0.0,0.0,4.0,0.0,GCA_000512165.1
Klebsiella michiganensis,blood,2024.0,Sao Paulo,GCA_041901425.1,SAMN43428189,SP,Sul,GCA_041901425.1_ASM4190142v1_genomic,4.0,2.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,13.0,0.0,0.0,4.0,0.0,GCA_041901425.1
Klebsiella michiganensis,blood,2019.0,Brazil,GCA_023093655.1,SAMN27549421,,,GCA_023093655.1_ASM2309365v1_genomic,5.0,2.0,3.0,6.0,0.0,0.0,5.0,1.0,0.0,23.0,0.0,0.0,4.0,0.0,GCA_023093655.1
Klebsiella michiganensis,Tracheal secretion,2021.0,Campinas,GCA_026223635.2,SAMN30807003,SP,Sul,GCA_026223635.2_ASM2622363v2_genomic,6.0,2.0,3.0,7.0,0.0,0.0,5.0,1.0,0.0,19.0,0.0,0.0,4.0,0.0,GCA_026223635.2
Neisseria meningitidis,disease case,1975.0,Brazil,GCA_000386205.2,SAMN01780075,,,GCA_000386205.2_ASM38620v2_genomic,20.0,5.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_000386205.2
Neisseria meningitidis,disease case,1975.0,Brazil,GCA_000386225.2,SAMN01780076,,,GCA_000386225.2_ASM38622v2_genomic,20.0,3.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_000386225.2
Neisseria meningitidis,disease case,1973.0,Brazil,GCA_000386745.2,SAMN01780107,,,GCA_000386745.2_ASM38674v2_genomic,25.0,5.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,10.0,0.0,0.0,0.0,6.0,GCA_000386745.2
Neisseria meningitidis,disease case,1973.0,Brazil,GCA_000386765.2,SAMN01780108,,,GCA_000386765.2_ASM38676v2_genomic,20.0,5.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,8.0,0.0,0.0,0.0,6.0,GCA_000386765.2
Aeromonas veronii,feces,2007.0,Brazil,GCA_003859745.1,SAMN10289379,,,GCA_003859745.1_ASM385974v1_genomic,25.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,GCA_003859745.1
Klebsiella sp.,blood,2016.0,Rio de Janeiro,GCA_018224045.1,SAMN18524141,RJ,Sudeste,GCA_018224045.1_ASM1822404v1_genomic,16.0,2.0,8.0,14.0,0.0,0.0,5.0,1.0,0.0,14.0,0.0,0.0,4.0,0.0,GCA_018224045.1
Acinetobacter courvalinii,Conjunctiva,1990.0,Brazil,GCA_000369605.1,SAMN01087861,,,GCA_000369605.1_Acin_sp_NIPH_1847_V1_genomic,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GCA_000369605.1
Bordetella trematum,ulcer tissue,2016.0,Brazil,GCA_011463375.1,SAMN10962613,,,GCA_011463375.1_ASM1146337v1_genomic,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GCA_011463375.1
Mycobacterium fragae,sputum,2010.0,Brazil,GCA_020622285.1,SAMN04101982,,,GCA_020622285.1_ASM2062228v1_genomic,5.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,8.0,2.0,GCA_020622285.1
Mycobacterium fragae,sputum of a Brazilian patient with a lung infection,2010.0,"northeastern Brazil, Cear State",GCA_025823245.1,SAMN15568920,CE,Nordeste,GCA_025823245.1_ASM2582324v1_genomic,5.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,8.0,2.0,GCA_025823245.1
Mycobacterium fragae,sputum,,Ceara State,GCA_002102185.1,SAMN04216927,CE,Nordeste,GCA_002102185.1_ASM210218v1_genomic,5.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,8.0,2.0,GCA_002102185.1
Staphylococcus aureus,blood of a 35 year-old male,,Sao Paulo,GCF_000647855.2,SAMN02732485,SP,Sul,GCF_000647855.2_ASM64785v2_genomic,9.0,0.0,5.0,15.0,9.0,17.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCF_000647855.2
Staphylococcus aureus,milk sample,2012.0,Vitoria da Conquista,GCF_001921665.1,SAMN06077114,,,GCF_001921665.1_ASM192166v1_genomic,9.0,0.0,5.0,15.0,10.0,20.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCF_001921665.1
