sample,n_class_A_carbapenemase_plasmidial,prop_carbapenemase_BD_plasmidial,n_esbl_plasmidial,n_genes_efflux_plasmidial,pct_contigs_plasmidial,n_plasmids_com_conjugacao,gc_diff_plasmid_cromossomo,Species,WHO_Priority
GCA_000316425.1,0,0,0,2,5.675675675675676,5,-2.9200000000000017,Escherichia coli,Critical
GCA_000355215.1,0,0,0,10,42.85714285714285,11,-2.1000000000000014,Escherichia coli,Critical
GCA_000355195.1,0,0,0,3,44.230769230769226,8,-1.5,Escherichia coli,Critical
GCA_000355235.1,0,0,1,2,9.67741935483871,2,-1.1300000000000026,Escherichia coli,Critical
GCA_000355255.1,0,0,1,2,33.33333333333333,10,-1.1699999999999946,Escherichia coli,Critical
GCA_000512165.1,1,0,3,3,85.71428571428571,4,-9.119999999999996,Klebsiella pneumoniae,Critical
GCA_041901425.1,0,1,0,10,37.735849056603776,8,-3.520000000000003,Klebsiella michiganensis,Critical
GCA_023093655.1,1,0,1,8,42.3728813559322,9,-1.3399999999999963,Klebsiella michiganensis,Critical
GCA_026223635.2,0,0,1,0,50.0,1,-4.770000000000003,Klebsiella michiganensis,Critical
GCA_018224045.1,0,0,1,5,33.33333333333333,5,-1.6799999999999995,Klebsiella sp.,Critical
GCA_023060195.1,0,1,0,3,29.230769230769237,5,-2.049999999999997,Enterobacter hormaechei,Critical
GCA_023060285.1,1,0,0,1,30.35714285714285,9,-5.859999999999999,Enterobacter hormaechei,Critical
GCA_023061085.1,1,0,1,6,33.64485981308411,7,-3.86,Enterobacter hormaechei,Critical
GCA_023572585.1,0,0,0,5,14.736842105263156,3,-2.229999999999997,Enterobacter hormaechei,Critical
GCA_014931695.1,1,0,1,3,75.0,2,-2.509999999999998,Enterobacter hormaechei,Critical
GCA_024813835.1,1,0,2,2,28.865979381443296,5,-3.6599999999999966,Klebsiella quasipneumoniae,Critical
GCA_036575175.1,0,1,2,0,54.54545454545454,1,-7.269999999999996,Klebsiella quasipneumoniae,Critical
GCA_036575205.1,0,1,0,0,25.0,1,-9.04,Klebsiella quasipneumoniae,Critical
GCA_036575245.1,0,1,1,0,50.0,1,-5.809999999999995,Klebsiella quasipneumoniae,Critical
GCA_036575275.1,0,1,2,1,50.0,1,-5.68,Klebsiella quasipneumoniae,Critical
GCA_036575265.1,0,1,1,1,64.28571428571429,3,-5.920000000000002,Klebsiella quasipneumoniae,Critical
GCA_006151945.1,0,1,1,6,13.174946004319654,6,-2.8200000000000003,Klebsiella quasipneumoniae,Critical
GCA_006151965.1,1,0,0,4,26.229508196721312,2,-1.0499999999999972,Klebsiella quasipneumoniae,Critical
GCA_006546635.1,0,0,0,2,16.071428571428573,1,-0.5700000000000003,Klebsiella quasipneumoniae,Critical
GCA_009361775.1,1,0,0,2,41.935483870967744,14,-5.039999999999999,Klebsiella quasipneumoniae,Critical
GCA_016055875.1,1,0,2,2,22.88135593220339,5,-5.779999999999994,Klebsiella quasipneumoniae,Critical
GCF_001715345.1,0,0,2,4,36.48648648648648,3,-3.469999999999999,Klebsiella quasipneumoniae,Critical
GCA_003020825.1,1,0,0,0,66.66666666666666,0,-6.770000000000003,Klebsiella quasipneumoniae,Critical
GCA_003583875.1,0,0,1,5,29.67032967032967,6,-3.1000000000000014,Klebsiella quasipneumoniae,Critical
GCA_026222785.1,0,0,2,3,35.714285714285715,5,-5.469999999999999,Klebsiella quasipneumoniae,Critical
GCA_026222805.1,0,1,2,4,30.625000000000004,12,-1.5300000000000011,Klebsiella quasipneumoniae,Critical
GCA_026222915.1,0,1,0,0,18.181818181818183,2,-7.210000000000001,Klebsiella quasipneumoniae,Critical
GCA_026223195.1,0,0,0,3,23.93162393162393,5,-3.280000000000001,Klebsiella quasipneumoniae,Critical
GCA_026223355.1,0,1,2,10,31.88405797101449,4,-1.1700000000000017,Klebsiella quasipneumoniae,Critical
GCA_026223415.1,0,1,2,4,31.15942028985507,7,-3.240000000000002,Klebsiella quasipneumoniae,Critical
GCA_026223535.1,0,0,1,10,22.41379310344828,4,-0.6600000000000037,Klebsiella quasipneumoniae,Critical
GCA_026223585.1,0,0,3,6,27.94117647058824,4,-2.8799999999999955,Klebsiella quasipneumoniae,Critical
GCA_026223645.1,0,1,2,2,31.818181818181817,6,-2.6700000000000017,Klebsiella quasipneumoniae,Critical
GCA_026223675.1,0,1,2,2,36.440677966101696,6,-1.3699999999999974,Klebsiella quasipneumoniae,Critical
GCA_026223695.1,0,0,2,6,26.506024096385545,12,-3.289999999999999,Klebsiella quasipneumoniae,Critical
GCF_001649555.1,0,0,0,0,0.0,0,-1.693981951394385,Yersinia enterocolitica,Critical
GCA_023093575.1,1,0,0,3,25.961538461538463,5,-1.5200000000000031,Enterobacter hormaechei,Critical
GCA_023806685.1,1,0,1,4,19.8581560283688,5,-3.5799999999999983,Enterobacter hormaechei,Critical
GCA_023893615.1,1,0,2,8,18.26086956521739,6,-2.5,Enterobacter hormaechei,Critical
GCA_023893895.1,1,0,1,7,25.136612021857925,4,-0.6700000000000017,Enterobacter hormaechei,Critical
GCA_023897125.1,1,0,1,4,30.246913580246915,6,-4.109999999999999,Enterobacter hormaechei,Critical
GCA_024006975.1,1,0,1,6,16.822429906542055,6,-2.68,Enterobacter hormaechei,Critical
GCA_024055755.1,0,0,0,3,13.930348258706468,5,-0.8299999999999983,Enterobacter hormaechei,Critical
GCA_024055765.1,0,0,0,6,25.0,9,-0.5200000000000031,Enterobacter hormaechei,Critical
GCA_024055805.1,1,0,1,7,16.82926829268293,5,-2.8999999999999986,Enterobacter hormaechei,Critical
GCA_024055825.1,0,0,0,7,20.65217391304348,1,0.0499999999999971,Enterobacter hormaechei,Critical
GCA_024055855.1,1,0,1,9,17.543859649122805,2,-0.3299999999999983,Enterobacter hormaechei,Critical
